VN     "Q2     |~BADKEY~                                                
TH10310  2     |~BADKEY~                                                
TH10520  2     |~BADKEY~                                                
ID     GL2     |~BADKEY~                                                
ID     GN2     |~BADKEY~                                                
ID     KL1     |~BADKEY~                                                
ID11710  2     |~BADKEY~                                                
ID12740  2     |~BADKEY~                                                
TH300001 2     |~BADKEY~                                                
VN     "Q1     |~BADKEY~                                                
VN     1 1     |~BADKEY~                                                
ID     TK2     |~BADKEY~                                                
TH10530  2     |~BADKEY~                                                
VN     GV1     |~BADKEY~                                                
ID     KY2     |~BADKEY~                                                
ID     MH2     |~BADKEY~                                                
TH102402 2     |~BADKEY~                                                
TH10400เ 2     |~BADKEY~                                              
VN     C 2     |~BADKEY~                                                
ID     KN2     |~BADKEY~                                                
ID13910  2     |~BADKEY~                                                
TH     3 2     |~BADKEY~                                                
TH10500  2     |~BADKEY~                                                
TH12110  2     |~BADKEY~                                                
VN     QT1     |~BADKEY~                                                
ID     SW2     |~BADKEY~                                                
TH73000  2     |~BADKEY~                                                
VN     1N1     |~BADKEY~                                                
VN     T 1     |~BADKEY~                                                
ID60293  2     |~BADKEY~                                                
ID     KL2     |~BADKEY~                                                
ID10610  2     |~BADKEY~                                                
ID65121  2     |~BADKEY~                                                
VN     BN1     |~BADKEY~                                                
VN     XM1     |~BADKEY~                                                
ID       2     |~BADKEY~                                                
ID     PR2     |~BADKEY~                                                
TH45000  2     |~BADKEY~                                                
VN     TN2     |~BADKEY~                                                
ID     DP2     |~BADKEY~                                                
ID     SK2     |~BADKEY~                                                
ID     JK2     |~BADKEY~                                                
ID17510  1     |~BADKEY~                                                
TH102103 2     |~BADKEY~                                                
TH12000  2     |~BADKEY~                                                
VN     "T2     |~BADKEY~                                                
VN     KN2     |~BADKEY~                                                
TH102701 2     |~BADKEY~                                                
TH111101 2     |~BADKEY~                                                
VN     AN2     |~BADKEY~                                                
VN     CH2     |~BADKEY~                                                
       - 2     |~BADKEY~                                                
ID     CB2     |~BADKEY~                                                
ID     KP1     |~BADKEY~                                                
ID     LB2     |~BADKEY~                                                
ID     SL2     |~BADKEY~                                                
TH104002 2     |~BADKEY~                                                
               |~BADKEY~                                                
ID14210  2     |~BADKEY~                                                
ID16431  2     |~BADKEY~                                                
TH102101 2     |~BADKEY~                                                
VN     CN2     |~BADKEY~                                                
ID60131  2     |~BADKEY~                                                
ID     GR2     |~BADKEY~                                                
ID11610  2     |~BADKEY~                                                
ID14440  1     |~BADKEY~                                                
ID     KH2     |~BADKEY~                                                
ID80231  2     |~BADKEY~                                                
TH92000  2     |~BADKEY~                                                
ID28111  2     |~BADKEY~                                                
TH10900เ 2     |~BADKEY~                                              
TH109003 2     |~BADKEY~                                                
VN     BV2     |~BADKEY~                                                
VN     CH1     |~BADKEY~                                                
VN     NH1     |~BADKEY~                                                
ID11510  2     |~BADKEY~                                                
ID80221  2     |~BADKEY~                                                
TH20000  2     |~BADKEY~                                                
       1 2     |~BADKEY~                                                
ID13210  2     |~BADKEY~                                                
ID14450  2     |~BADKEY~                                                
       PR2     |~BADKEY~                                                
ID     JL2     |~BADKEY~                                                
TH101501 2     |~BADKEY~                                                
TH101601 2     |~BADKEY~                                                
TH74000  2     |~BADKEY~                                                
ID     JK1     |~BADKEY~                                                
ID     MR2     |~BADKEY~                                                
TH     2 2     |~BADKEY~                                                
TH102401 2     |~BADKEY~                                                
TH65000  2     |~BADKEY~                                                
ID     . 2     |~BADKEY~                                                
ID88976  1     |~BADKEY~                                                
TH32000  2     |~BADKEY~                                                
TH11120  2     |~BADKEY~                                                
VN     BD2     |~BADKEY~                                                
VN     CT1     |~BADKEY~                                                
TH11110  2     |~BADKEY~                                                
ID     DR2     |~BADKEY~                                                
ID13110  2     |~BADKEY~                                                
ID15810  2     |~BADKEY~                                                
ID     GG2     |~BADKEY~                                                
ID     KD2     |~BADKEY~                                                
ID     LM2     |~BADKEY~                                                
ID     PN2     |~BADKEY~                                                
