DE52076        |~BADKEY~                                                
DE56564        |~BADKEY~                                                
DE60318        |~BADKEY~                                                
DE10115ES8     |~BADKEY~                                                
DE12205        |~BADKEY~                                                
DE14199        |~BADKEY~                                                
DE20539AM35    |~BADKEY~                                                
DE24768        |~BADKEY~                                                
DE44879        |~BADKEY~                                                
DE             |~BADKEY~                                                
DE12163        |~BADKEY~                                                
DE28717        |~BADKEY~                                                
DE44627        |~BADKEY~                                                
DE45966        |~BADKEY~                                                
DE47443        |~BADKEY~                                                
DE70565        |~BADKEY~                                                
DE99084        |~BADKEY~                                                
DE99091        |~BADKEY~                                                
DE06618        |~BADKEY~                                                
DE10245        |~BADKEY~                                                
DE13465        |~BADKEY~                                                
DE24113        |~BADKEY~                                                
DE26316        |~BADKEY~                                                
DE48268        |~BADKEY~                                                
DE50259        |~BADKEY~                                                
DE63071        |~BADKEY~                                                
DE10589        |~BADKEY~                                                
DE13125ST      |~BADKEY~                                                
DE13158KS3     |~BADKEY~                                                
DE22399        |~BADKEY~                                                
DE31134        |~BADKEY~                                                
DE38106        |~BADKEY~                                                
DE42389        |~BADKEY~                                                
DE53111        |~BADKEY~                                                
DE53119        |~BADKEY~                                                
DE56075        |~BADKEY~                                                
DE60486        |~BADKEY~                                                
DE65207        |~BADKEY~                                                
DE07407        |~BADKEY~                                                
DE07745        |~BADKEY~                                                
DE28209        |~BADKEY~                                                
DE46242        |~BADKEY~                                                
DE55743        |~BADKEY~                                                
DE77933        |~BADKEY~                                                
DE86165        |~BADKEY~                                                
DE01157        |~BADKEY~                                                
DE13158KS12    |~BADKEY~                                                
DE44787        |~BADKEY~                                                
DE47178        |~BADKEY~                                                
DE80339        |~BADKEY~                                                
DE80809        |~BADKEY~                                                
DE13583        |~BADKEY~                                                
DE20535        |~BADKEY~                                                
DE42283        |~BADKEY~                                                
DE44791        |~BADKEY~                                                
DE47057        |~BADKEY~                                                
DE48147SB45    |~BADKEY~                                                
DE53179        |~BADKEY~                                                
DE59075        |~BADKEY~                                                
DE63110        |~BADKEY~                                                
DE10437        |~BADKEY~                                                
DE12055        |~BADKEY~                                                
DE25524        |~BADKEY~                                                
DE25715        |~BADKEY~                                                
DE30171        |~BADKEY~                                                
DE40885        |~BADKEY~                                                
DE42105        |~BADKEY~                                                
DE81379        |~BADKEY~                                                
DE81671        |~BADKEY~                                                
DE81927        |~BADKEY~                                                
DE10997        |~BADKEY~                                                
DE12057        |~BADKEY~                                                
DE18069        |~BADKEY~                                                
DE20539AM34    |~BADKEY~                                                
DE24148        |~BADKEY~                                                
DE33129        |~BADKEY~                                                
DE51063        |~BADKEY~                                                
DE63512        |~BADKEY~                                                
DE78224        |~BADKEY~                                                
DE80933        |~BADKEY~                                                
DE10117        |~BADKEY~                                                
DE30159NS52    |~BADKEY~                                                
DE41836        |~BADKEY~                                                
DE41844        |~BADKEY~                                                
DE44269        |~BADKEY~                                                
DE47445        |~BADKEY~                                                
DE50733        |~BADKEY~                                                
DE56068        |~BADKEY~                                                
DE59581        |~BADKEY~                                                
DE80333        |~BADKEY~                                                
DE95326        |~BADKEY~                                                
DE01169        |~BADKEY~                                                
DE21073        |~BADKEY~                                                
DE45886        |~BADKEY~                                                
DE46446        |~BADKEY~                                                
DE52477        |~BADKEY~                                                
DE55118        |~BADKEY~                                                
DE85221        |~BADKEY~                                                
DE90455BY      |~BADKEY~                                                
DE10961        |~BADKEY~                                                
DE16303        |~BADKEY~                                                
DE41751        |~BADKEY~                                                
DE44869        |~BADKEY~                                                
DE74564        |~BADKEY~                                                
DE01099        |~BADKEY~                                                
DE04808FR15    |~BADKEY~                                                
DE10777        |~BADKEY~                                                
DE26725        |~BADKEY~                                                
DE40625        |~BADKEY~                                                
DE45130        |~BADKEY~                                                
DE45145        |~BADKEY~                                                
DE59379        |~BADKEY~                                                
DE70327        |~BADKEY~                                                
DE12524        |~BADKEY~                                                
DE13086        |~BADKEY~                                                
DE14612        |~BADKEY~                                                
DE17268        |~BADKEY~                                                
DE22765        |~BADKEY~                                                
DE25421        |~BADKEY~                                                
DE35285AM      |~BADKEY~                                                
DE41470        |~BADKEY~                                                
DE46399        |~BADKEY~                                                
DE54634        |~BADKEY~                                                
DE67061        |~BADKEY~                                                
DE10179        |~BADKEY~                                                
DE10999        |~BADKEY~                                                
DE13349        |~BADKEY~                                                
DE41464        |~BADKEY~                                                
DE45896        |~BADKEY~                                                
DE45964        |~BADKEY~                                                
DE47138        |~BADKEY~                                                
DE56566BN22    |~BADKEY~                                                
DE71083        |~BADKEY~                                                
DE13591        |~BADKEY~                                                
DE23774AM27    |~BADKEY~                                                
DE23966        |~BADKEY~                                                
DE42551        |~BADKEY~                                                
DE42857        |~BADKEY~                                                
DE42859        |~BADKEY~                                                
DE44229        |~BADKEY~                                                
DE44651        |~BADKEY~                                                
DE46535        |~BADKEY~                                                
DE47239        |~BADKEY~                                                
DE48653        |~BADKEY~                                                
DE51503        |~BADKEY~                                                
DE66424        |~BADKEY~                                                
DE81677        |~BADKEY~                                                
DE01219        |~BADKEY~                                                
DE21077        |~BADKEY~                                                
DE26160        |~BADKEY~                                                
DE28199        |~BADKEY~                                                
DE42697        |~BADKEY~                                                
DE48161        |~BADKEY~                                                
DE50051ST      |~BADKEY~                                                
DE52066        |~BADKEY~                                                
DE59071        |~BADKEY~                                                
DE67071        |~BADKEY~                                                
DE86159        |~BADKEY~                                                
DE10827        |~BADKEY~                                                
DE12249        |~BADKEY~                                                
DE13439        |~BADKEY~                                                
DE31515        |~BADKEY~                                                
DE33609        |~BADKEY~                                                
DE41747        |~BADKEY~                                                
DE50769        |~BADKEY~                                                
DE56566        |~BADKEY~                                                
DE68305        |~BADKEY~                                                
DE75365        |~BADKEY~                                                
DE91126        |~BADKEY~                                                
DE10587        |~BADKEY~                                                
DE20095        |~BADKEY~                                                
DE24159        |~BADKEY~                                                
DE42699        |~BADKEY~                                                
DE44265        |~BADKEY~                                                
DE4545         |~BADKEY~                                                
DE53773        |~BADKEY~                                                
DE58708        |~BADKEY~                                                
DE60487        |~BADKEY~                                                
DE74889        |~BADKEY~                                                
DE10247        |~BADKEY~                                                
DE30900        |~BADKEY~                                                
DE59229        |~BADKEY~                                                
DE60599        |~BADKEY~                                                
DE63303        |~BADKEY~                                                
DE01129        |~BADKEY~                                                
DE10179AL4     |~BADKEY~                                                
DE10234AL08    |~BADKEY~                                                
