GR20003        |~BADKEY~                                                
GR20500        |~BADKEY~                                                
GR24200        |~BADKEY~                                                
GR30005        |~BADKEY~                                                
GR43060        |~BADKEY~                                                
GR49084        |~BADKEY~                                                
GR52200        |~BADKEY~                                                
GR70012        |~BADKEY~                                                
GR74052        |~BADKEY~                                                
GR17673        |~BADKEY~                                                
GR18452        |~BADKEY~                                                
GR66032        |~BADKEY~                                                
GR16346        |~BADKEY~                                                
GR17342        |~BADKEY~                                                
GR34002        |~BADKEY~                                                
GR41223        |~BADKEY~                                                
GR42200        |~BADKEY~                                                
GR62048        |~BADKEY~                                                
GR68300        |~BADKEY~                                                
GR85109        |~BADKEY~                                                
GR25008        |~BADKEY~                                                
GR25006        |~BADKEY~                                                
GR11143        |~BADKEY~                                                
GR14452        |~BADKEY~                                                
GR18233        |~BADKEY~                                                
GR18648        |~BADKEY~                                                
GR40011        |~BADKEY~                                                
GR70006        |~BADKEY~                                                
GR38222        |~BADKEY~                                                
GR46100        |~BADKEY~                                                
GR61100        |~BADKEY~                                                
               |~BADKEY~                                                
GR17237        |~BADKEY~                                                
GR57001ΤΘ      |~BADKEY~                                              
GR15344        |~BADKEY~                                                
GR25001        |~BADKEY~                                                
GR46300        |~BADKEY~                                                
GR81200        |~BADKEY~                                                
GR12461        |~BADKEY~                                                
GR16344        |~BADKEY~                                                
GR16562        |~BADKEY~                                                
GR19005        |~BADKEY~                                                
GR48061        |~BADKEY~                                                
GR56533        |~BADKEY~                                                
GR59100        |~BADKEY~                                                
GR68400        |~BADKEY~                                                
GR11146        |~BADKEY~                                                
GR14343        |~BADKEY~                                                
GR18121        |~BADKEY~                                                
GR26332        |~BADKEY~                                                
GR58200        |~BADKEY~                                                
GR58300        |~BADKEY~                                                
GR72200        |~BADKEY~                                                
GR73100        |~BADKEY~                                                
GR83100        |~BADKEY~                                                
GR20002        |~BADKEY~                                                
GR32002        |~BADKEY~                                                
GR55134        |~BADKEY~                                                
GR73003        |~BADKEY~                                                
GR57200        |~BADKEY~                                                
GR70100        |~BADKEY~                                                
GR20200        |~BADKEY~                                                
GR32100        |~BADKEY~                                                
GR34400        |~BADKEY~                                                
GR52050        |~BADKEY~                                                
GR63071        |~BADKEY~                                                
GR25003        |~BADKEY~                                                
GR40006        |~BADKEY~                                                
GR45221        |~BADKEY~                                                
GR57007        |~BADKEY~                                                
GR14235        |~BADKEY~                                                
GR17122        |~BADKEY~                                                
GR65500        |~BADKEY~                                                
GR73006        |~BADKEY~                                                
GR83300        |~BADKEY~                                                
GR34004        |~BADKEY~                                                
GR59200        |~BADKEY~                                                
GR60066        |~BADKEY~                                                
GR13677        |~BADKEY~                                                
GR25002        |~BADKEY~                                                
GR46200        |~BADKEY~                                                
GR54453        |~BADKEY~                                                
GR56224        |~BADKEY~                                                
GR15127        |~BADKEY~                                                
GR15341        |~BADKEY~                                                
GR34014        |~BADKEY~                                                
GR35013        |~BADKEY~                                                
GR17123        |~BADKEY~                                                
GR24100        |~BADKEY~                                                
GR26223        |~BADKEY~                                                
GR30100        |~BADKEY~                                                
GR56334        |~BADKEY~                                                
GR64006        |~BADKEY~                                                
GR19100        |~BADKEY~                                                
GR26500        |~BADKEY~                                                
GR27200        |~BADKEY~                                                
GR43100        |~BADKEY~                                                
GR54250        |~BADKEY~                                                
GR54500        |~BADKEY~                                                
GR14234        |~BADKEY~                                                
GR15232        |~BADKEY~                                                
GR15233        |~BADKEY~                                                
GR30014        |~BADKEY~                                                
GR30015        |~BADKEY~                                                
GR44100        |~BADKEY~                                                
GR51200        |~BADKEY~                                                
GR             |~BADKEY~                                                
GR17675        |~BADKEY~                                                
GR67064        |~BADKEY~                                                
GR12462        |~BADKEY~                                                
GR17341        |~BADKEY~                                                
GR24009        |~BADKEY~                                                
GR56431        |~BADKEY~                                                
GR62100        |~BADKEY~                                                
GR23055        |~BADKEY~                                                
GR30001        |~BADKEY~                                                
GR48062        |~BADKEY~                                                
GR48100        |~BADKEY~                                                
GR55132        |~BADKEY~                                                
GR11522        |~BADKEY~                                                
GR12135        |~BADKEY~                                                
GR17564        |~BADKEY~                                                
GR40200        |~BADKEY~                                                
GR70002        |~BADKEY~                                                
GR70200        |~BADKEY~                                                
