US     MN      |~BADKEY~                                                
US93312        |~BADKEY~                                                
US95350        |~BADKEY~                                                
US98001        |~BADKEY~                                                
US98258        |~BADKEY~                                                
US98661        |~BADKEY~                                                
US00641        |~BADKEY~                                                
US00682        |~BADKEY~                                                
US08690        |~BADKEY~                                                
US08731        |~BADKEY~                                                
US10469        |~BADKEY~                                                
US11419        |~BADKEY~                                                
US14411        |~BADKEY~                                                
US15022        |~BADKEY~                                                
US18643        |~BADKEY~                                                
US19061        |~BADKEY~                                                
US19124        |~BADKEY~                                                
US20832        |~BADKEY~                                                
US21211        |~BADKEY~                                                
US27260        |~BADKEY~                                                
US28203        |~BADKEY~                                                
US30022        |~BADKEY~                                                
US30294        |~BADKEY~                                                
US32304        |~BADKEY~                                                
US33527        |~BADKEY~                                                
US33917        |~BADKEY~                                                
US37083        |~BADKEY~                                                
US38632        |~BADKEY~                                                
US39581        |~BADKEY~                                                
US45891        |~BADKEY~                                                
US48135        |~BADKEY~                                                
US53140        |~BADKEY~                                                
US54303        |~BADKEY~                                                
US55379        |~BADKEY~                                                
US60188        |~BADKEY~                                                
US60459        |~BADKEY~                                                
US64129        |~BADKEY~                                                
US64138        |~BADKEY~                                                
US70647        |~BADKEY~                                                
US70769        |~BADKEY~                                                
US71602        |~BADKEY~                                                
US74432        |~BADKEY~                                                
US74868        |~BADKEY~                                                
US75039        |~BADKEY~                                                
US78006        |~BADKEY~                                                
US78023        |~BADKEY~                                                
US78217        |~BADKEY~                                                
US79416        |~BADKEY~                                                
US84403        |~BADKEY~                                                
US84651        |~BADKEY~                                                
US86426        |~BADKEY~                                                
US92037        |~BADKEY~                                                
US92225        |~BADKEY~                                                
US92376        |~BADKEY~                                                
US94066        |~BADKEY~                                                
US97405        |~BADKEY~                                                
US97502        |~BADKEY~                                                
US00000BSN32   |~BADKEY~                                                
US00000GM 12   |~BADKEY~                                                
US00000IMP     |~BADKEY~                                                
US07461        |~BADKEY~                                                
US08030        |~BADKEY~                                                
US10308        |~BADKEY~                                                
US12831        |~BADKEY~                                                
US13903        |~BADKEY~                                                
US15236        |~BADKEY~                                                
US15690        |~BADKEY~                                                
US15717        |~BADKEY~                                                
US20007        |~BADKEY~                                                
US23502        |~BADKEY~                                                
US25306        |~BADKEY~                                                
US27707        |~BADKEY~                                                
US29671        |~BADKEY~                                                
US30005        |~BADKEY~                                                
US32428        |~BADKEY~                                                
US32433        |~BADKEY~                                                
US33445        |~BADKEY~                                                
US33609        |~BADKEY~                                                
US35019        |~BADKEY~                                                
US35173        |~BADKEY~                                                
US38672        |~BADKEY~                                                
US41097        |~BADKEY~                                                
US43140        |~BADKEY~                                                
US46001        |~BADKEY~                                                
US47591        |~BADKEY~                                                
US48912        |~BADKEY~                                                
US60064        |~BADKEY~                                                
US60131        |~BADKEY~                                                
US60613        |~BADKEY~                                                
US60617AVN10   |~BADKEY~                                                
US61104        |~BADKEY~                                                
US63111        |~BADKEY~                                                
US66204        |~BADKEY~                                                
US66606        |~BADKEY~                                                
US66614        |~BADKEY~                                                
US70037        |~BADKEY~                                                
US70117        |~BADKEY~                                                
US70458        |~BADKEY~                                                
US70518        |~BADKEY~                                                
US70533        |~BADKEY~                                                
US70820        |~BADKEY~                                                
US75244        |~BADKEY~                                                
US75904        |~BADKEY~                                                
US76014        |~BADKEY~                                                
US77053        |~BADKEY~                                                
US77057        |~BADKEY~                                                
US77407        |~BADKEY~                                                
US77598        |~BADKEY~                                                
US78211        |~BADKEY~                                                
US80905        |~BADKEY~                                                
US83686        |~BADKEY~                                                
US84770        |~BADKEY~                                                
US85388        |~BADKEY~                                                
US92404        |~BADKEY~                                                
US92618        |~BADKEY~                                                
US92870        |~BADKEY~                                                
US93257        |~BADKEY~                                                
US94061        |~BADKEY~                                                
US95076        |~BADKEY~                                                
US96816        |~BADKEY~                                                
US99518        |~BADKEY~                                                
US00000HL 23   |~BADKEY~                                                
US00685        |~BADKEY~                                                
US02169        |~BADKEY~                                                
US03820        |~BADKEY~                                                
US06457        |~BADKEY~                                                
US06483        |~BADKEY~                                                
US07062        |~BADKEY~                                                
US12586        |~BADKEY~                                                
US14456        |~BADKEY~                                                
US14468        |~BADKEY~                                                
US17866        |~BADKEY~                                                
US18976        |~BADKEY~                                                
US19460        |~BADKEY~                                                
US27284        |~BADKEY~                                                
US28516        |~BADKEY~                                                
US331571TH10   |~BADKEY~                                                
US33990        |~BADKEY~                                                
US35057        |~BADKEY~                                                
US36266        |~BADKEY~                                                
US37186        |~BADKEY~                                                
US37398        |~BADKEY~                                                
US37618        |~BADKEY~                                                
US37664        |~BADKEY~                                                
US40351        |~BADKEY~                                                
US43221        |~BADKEY~                                                
US43452        |~BADKEY~                                                
US44108        |~BADKEY~                                                
US44857        |~BADKEY~                                                
US45309        |~BADKEY~                                                
US45638        |~BADKEY~                                                
US48034        |~BADKEY~                                                
US48625        |~BADKEY~                                                
US55720        |~BADKEY~                                                
US60540        |~BADKEY~                                                
US60629        |~BADKEY~                                                
US63147        |~BADKEY~                                                
US64057        |~BADKEY~                                                
US64870        |~BADKEY~                                                
US65340        |~BADKEY~                                                
US66503        |~BADKEY~                                                
US71203        |~BADKEY~                                                
US72908        |~BADKEY~                                                
US74955        |~BADKEY~                                                
US77087        |~BADKEY~                                                
US78336        |~BADKEY~                                                
US78413        |~BADKEY~                                                
US78521        |~BADKEY~                                                
US78653        |~BADKEY~                                                
US78744        |~BADKEY~                                                
US80022        |~BADKEY~                                                
US80031        |~BADKEY~                                                
US80123        |~BADKEY~                                                
US83501        |~BADKEY~                                                
US84057        |~BADKEY~                                                
US86001        |~BADKEY~                                                
US88021        |~BADKEY~                                                
US89169        |~BADKEY~                                                
US91103        |~BADKEY~                                                
US92019        |~BADKEY~                                                
US92841        |~BADKEY~                                                
US93215        |~BADKEY~                                                
US95330        |~BADKEY~                                                
US00000CRZ12   |~BADKEY~                                                
US00000EXT     |~BADKEY~                                                
US00617        |~BADKEY~                                                
US00956        |~BADKEY~                                                
US05641        |~BADKEY~                                                
US07040        |~BADKEY~                                                
US07050        |~BADKEY~                                                
US07513        |~BADKEY~                                                
US07731        |~BADKEY~                                                
US10005        |~BADKEY~                                                
US11417        |~BADKEY~                                                
US11550        |~BADKEY~                                                
US11720        |~BADKEY~                                                
US14425        |~BADKEY~                                                
US19966        |~BADKEY~                                                
US20016        |~BADKEY~                                                
US20024        |~BADKEY~                                                
US21502        |~BADKEY~                                                
US22193        |~BADKEY~                                                
US25403        |~BADKEY~                                                
US27055        |~BADKEY~                                                
US27410        |~BADKEY~                                                
US27549        |~BADKEY~                                                
US27613        |~BADKEY~                                                
US28906        |~BADKEY~                                                
US29154        |~BADKEY~                                                
US30223        |~BADKEY~                                                
US32011        |~BADKEY~                                                
US32091        |~BADKEY~                                                
US35476        |~BADKEY~                                                
US37650        |~BADKEY~                                                
US37918        |~BADKEY~                                                
US38382        |~BADKEY~                                                
US39301        |~BADKEY~                                                
US43906        |~BADKEY~                                                
US45002        |~BADKEY~                                                
US46360        |~BADKEY~                                                
US48101        |~BADKEY~                                                
