IT21013        |~BADKEY~                                                
IT80128        |~BADKEY~                                                
IT87036        |~BADKEY~                                                
IT87067        |~BADKEY~                                                
IT90044        |~BADKEY~                                                
IT08100        |~BADKEY~                                                
IT10070        |~BADKEY~                                                
IT16157        |~BADKEY~                                                
IT36015        |~BADKEY~                                                
IT40068        |~BADKEY~                                                
IT57124        |~BADKEY~                                                
IT74122        |~BADKEY~                                                
IT10093        |~BADKEY~                                                
IT10156        |~BADKEY~                                                
IT15033        |~BADKEY~                                                
IT20063        |~BADKEY~                                                
IT26900        |~BADKEY~                                                
IT31015        |~BADKEY~                                                
IT45030        |~BADKEY~                                                
IT46010        |~BADKEY~                                                
IT92024        |~BADKEY~                                                
IT00139        |~BADKEY~                                                
IT00141        |~BADKEY~                                                
IT10064        |~BADKEY~                                                
IT73048        |~BADKEY~                                                
IT80145        |~BADKEY~                                                
IT34100        |~BADKEY~                                                
IT53100        |~BADKEY~                                                
IT98051        |~BADKEY~                                                
IT00042        |~BADKEY~                                                
IT00060        |~BADKEY~                                                
IT30010        |~BADKEY~                                                
IT43124        |~BADKEY~                                                
IT21052        |~BADKEY~                                                
IT84013        |~BADKEY~                                                
IT21050        |~BADKEY~                                                
IT66026        |~BADKEY~                                                
IT95100        |~BADKEY~                                                
IT98124        |~BADKEY~                                                
IT20811        |~BADKEY~                                                
IT25010        |~BADKEY~                                                
IT26010        |~BADKEY~                                                
IT65129        |~BADKEY~                                                
IT00012        |~BADKEY~                                                
IT10146        |~BADKEY~                                                
IT20066        |~BADKEY~                                                
IT81020        |~BADKEY~                                                
IT95122        |~BADKEY~                                                
IT20021        |~BADKEY~                                                
IT50019        |~BADKEY~                                                
IT56020        |~BADKEY~                                                
IT88900        |~BADKEY~                                                
IT10126        |~BADKEY~                                                
IT20851        |~BADKEY~                                                
IT70029        |~BADKEY~                                                
IT00040        |~BADKEY~                                                
IT10124        |~BADKEY~                                                
IT40122        |~BADKEY~                                                
IT70123        |~BADKEY~                                                
IT97019        |~BADKEY~                                                
IT09134        |~BADKEY~                                                
IT20832        |~BADKEY~                                                
IT22066        |~BADKEY~                                                
IT33050        |~BADKEY~                                                
IT70054        |~BADKEY~                                                
IT00174        |~BADKEY~                                                
IT20068        |~BADKEY~                                                
IT20093        |~BADKEY~                                                
IT20861        |~BADKEY~                                                
IT24040        |~BADKEY~                                                
IT27029        |~BADKEY~                                                
IT33170        |~BADKEY~                                                
IT72021        |~BADKEY~                                                
IT80020        |~BADKEY~                                                
IT82100        |~BADKEY~                                                
IT00113        |~BADKEY~                                                
IT30020        |~BADKEY~                                                
IT20149        |~BADKEY~                                                
IT26100        |~BADKEY~                                                
IT60030        |~BADKEY~                                                
IT84016        |~BADKEY~                                                
IT96010        |~BADKEY~                                                
IT06034        |~BADKEY~                                                
IT16100        |~BADKEY~                                                
IT20162        |~BADKEY~                                                
IT47521        |~BADKEY~                                                
IT70019        |~BADKEY~                                                
IT72100        |~BADKEY~                                                
IT00041        |~BADKEY~                                                
IT01100        |~BADKEY~                                                
IT09121        |~BADKEY~                                                
IT28010        |~BADKEY~                                                
IT29121        |~BADKEY~                                                
IT71036        |~BADKEY~                                                
IT81024        |~BADKEY~                                                
IT90124        |~BADKEY~                                                
IT50125        |~BADKEY~                                                
IT57121        |~BADKEY~                                                
IT84025        |~BADKEY~                                                
IT55041        |~BADKEY~                                                
IT29122        |~BADKEY~                                                
IT30123        |~BADKEY~                                                
IT60121        |~BADKEY~                                                
IT80125        |~BADKEY~                                                
IT10050        |~BADKEY~                                                
IT10138        |~BADKEY~                                                
IT47923        |~BADKEY~                                                
IT70124        |~BADKEY~                                                
IT00053        |~BADKEY~                                                
IT10040        |~BADKEY~                                                
IT74016        |~BADKEY~                                                
IT92027        |~BADKEY~                                                
IT25121        |~BADKEY~                                                
IT80013        |~BADKEY~                                                
IT10125        |~BADKEY~                                                
IT24030        |~BADKEY~                                                
IT74123        |~BADKEY~                                                
IT07026        |~BADKEY~                                                
IT09170        |~BADKEY~                                                
IT86100        |~BADKEY~                                                
IT95022        |~BADKEY~                                                
IT16035        |~BADKEY~                                                
IT35010        |~BADKEY~                                                
IT40128        |~BADKEY~                                                
IT             |~BADKEY~                                                
IT00015        |~BADKEY~                                                
